Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,83.650002,83.650002,81.970001,81.989998,81.989998,0
2019-10-02,82.019997,82.019997,79.459999,79.500000,79.500000,0
2019-10-03,79.500000,79.500000,79.500000,79.500000,79.500000,0
2019-10-04,79.989998,80.699997,79.830002,80.699997,80.699997,0
2019-10-07,80.599998,81.320000,80.379997,81.320000,81.320000,0
2019-10-08,81.290001,81.290001,80.209999,80.510002,80.510002,0
2019-10-09,80.459999,80.970001,80.430000,80.879997,80.879997,0
2019-10-10,80.760002,81.889999,80.760002,81.570000,81.570000,0
2019-10-11,81.970001,83.190002,81.970001,83.190002,83.190002,0
2019-10-14,82.980003,83.059998,82.500000,82.930000,82.930000,0
2019-10-15,83.339996,84.059998,83.230003,83.959999,83.959999,0
2019-10-16,83.889999,83.889999,83.529999,83.589996,83.589996,0
2019-10-17,83.519997,84.220001,83.209999,83.349998,83.349998,0
2019-10-18,83.209999,83.279999,82.570000,82.870003,82.870003,0
2019-10-21,82.970001,83.269997,82.870003,82.949997,82.949997,0
2019-10-22,83.050003,83.129997,82.529999,83.110001,83.110001,0
2019-10-23,82.699997,83.209999,82.660004,83.190002,83.190002,46
2019-10-24,83.239998,83.580002,83.239998,83.309998,83.309998,0
2019-10-25,83.680000,84.059998,83.440002,84.059998,84.059998,0
2019-10-28,84.099998,84.440002,84.000000,84.279999,84.279999,0
2019-10-29,84.209999,84.459999,84.070000,84.360001,84.360001,0
2019-10-30,84.250000,84.650002,84.250000,84.650002,84.650002,0
2019-10-31,84.750000,84.750000,84.150002,84.150002,84.150002,0
2019-11-01,84.540001,84.870003,84.430000,84.730003,84.730003,0
2019-11-04,85.029999,85.720001,85.029999,85.610001,85.610001,0
2019-11-05,85.620003,85.949997,85.620003,85.949997,85.949997,0
2019-11-06,85.879997,86.379997,85.879997,86.099998,86.099998,0
2019-11-07,86.540001,86.680000,86.379997,86.529999,86.529999,0
2019-11-08,86.250000,86.599998,86.230003,86.580002,86.580002,0
2019-11-11,86.230003,86.830002,86.230003,86.779999,86.779999,0
2019-11-12,86.870003,87.230003,86.760002,87.080002,87.080002,100
2019-11-13,86.930000,86.970001,86.540001,86.930000,86.930000,0
2019-11-14,86.750000,87.000000,86.650002,86.790001,86.790001,0
2019-11-15,87.190002,87.389999,86.959999,87.160004,87.160004,0
2019-11-18,87.300003,87.300003,86.800003,87.199997,87.199997,0
2019-11-19,87.269997,87.750000,86.779999,86.910004,86.910004,2
2019-11-20,86.699997,86.769997,86.190002,86.260002,86.260002,0
2019-11-21,86.260002,86.629997,85.889999,86.580002,86.580002,0
2019-11-22,86.610001,87.050003,86.540001,86.739998,86.739998,0
2019-11-25,87.099998,87.180000,86.930000,87.129997,87.129997,0
2019-11-26,87.180000,87.349998,87.180000,87.279999,87.279999,0
2019-11-27,87.209999,87.500000,87.120003,87.169998,87.169998,0
2019-11-28,86.930000,87.059998,86.910004,86.970001,86.970001,0
2019-11-29,86.709999,87.199997,86.650002,86.669998,86.669998,0